"remoteness","state","year","measure","value_type","value","na_value"
"Inner Regional","New South Wales",2013,"Deaths","no.",12614,NA
"Inner Regional","New South Wales",2013,"Infant mortality rate","rate",3.8,NA
"Inner Regional","New South Wales",2013,"Standardised death rate","rate",6.1,NA
"Inner Regional","New South Wales",2013,"Median age at death","years",81.4,NA
"Inner Regional","New South Wales",2014,"Estimated Resident Population","persons",1465979,NA
"Inner Regional","New South Wales",2014,"Deaths","no.",13200,NA
"Inner Regional","New South Wales",2014,"Infant mortality rate","rate",4.3,NA
"Inner Regional","New South Wales",2014,"Standardised death rate","rate",6,NA
"Inner Regional","New South Wales",2014,"Median age at death","years",81.4,NA
"Inner Regional","New South Wales",2015,"Estimated Resident Population","persons",1478446,NA
"Inner Regional","New South Wales",2015,"Deaths","no.",13574,NA
"Inner Regional","New South Wales",2015,"Infant mortality rate","rate",4.3,NA
"Inner Regional","New South Wales",2015,"Standardised death rate","rate",6,NA
"Inner Regional","New South Wales",2015,"Median age at death","years",81.5,NA
"Inner Regional","New South Wales",2016,"Estimated Resident Population","persons",1492516,NA
"Inner Regional","New South Wales",2016,"Deaths","no.",14007,NA
"Inner Regional","New South Wales",2016,"Infant mortality rate","rate",4,NA
"Inner Regional","New South Wales",2016,"Standardised death rate","rate",6.1,NA
"Inner Regional","New South Wales",2016,"Median age at death","years",81.6,NA
"Inner Regional","New South Wales",2017,"Estimated Resident Population","persons",1509682,NA
"Inner Regional","New South Wales",2017,"Deaths","no.",13496,NA
"Inner Regional","New South Wales",2017,"Infant mortality rate","rate",3.5,NA
"Inner Regional","New South Wales",2017,"Standardised death rate","rate",6,NA
"Inner Regional","New South Wales",2017,"Median age at death","years",81.7,NA
"Inner Regional","New South Wales",2018,"Estimated Resident Population","persons",1527522,NA
"Inner Regional","New South Wales",2018,"Deaths","no.",13662,NA
"Inner Regional","New South Wales",2018,"Infant mortality rate","rate",3.2,NA
"Inner Regional","New South Wales",2018,"Standardised death rate","rate",5.8,NA
"Inner Regional","New South Wales",2018,"Median age at death","years",81.7,NA
"Inner Regional","New South Wales",2019,"Estimated Resident Population","persons",1543589,NA
"Inner Regional","New South Wales",2019,"Deaths","no.",14487,NA
"Inner Regional","New South Wales",2019,"Infant mortality rate","rate",3.1,NA
"Inner Regional","New South Wales",2019,"Standardised death rate","rate",5.8,NA
"Inner Regional","New South Wales",2019,"Median age at death","years",81.7,NA
"Inner Regional","New South Wales",2020,"Estimated Resident Population","persons",1559150,NA
"Inner Regional","New South Wales",2020,"Deaths","no.",13600,NA
"Inner Regional","New South Wales",2020,"Infant mortality rate","rate",3,NA
"Inner Regional","New South Wales",2020,"Standardised death rate","rate",5.7,NA
"Inner Regional","New South Wales",2020,"Median age at death","years",81.5,NA
"Inner Regional","New South Wales",2021,"Estimated Resident Population","persons",1571760,NA
"Inner Regional","New South Wales",2021,"Deaths","no.",14617,NA
"Inner Regional","New South Wales",2021,"Infant mortality rate","rate",3.3,NA
"Inner Regional","New South Wales",2021,"Standardised death rate","rate",5.6,NA
"Inner Regional","New South Wales",2021,"Median age at death","years",81.6,NA
"Inner Regional","New South Wales",2022,"Estimated Resident Population","persons",1586980,NA
"Inner Regional","New South Wales",2022,"Deaths","no.",16028,NA
"Inner Regional","New South Wales",2022,"Infant mortality rate","rate",3.1,NA
"Inner Regional","New South Wales",2022,"Standardised death rate","rate",5.7,NA
"Inner Regional","New South Wales",2022,"Median age at death","years",81.8,NA
"Inner Regional","New South Wales",2023,"Estimated Resident Population","persons",1601957,NA
"Inner Regional","New South Wales",2023,"Deaths","no.",15564,NA
"Inner Regional","New South Wales",2023,"Infant mortality rate","rate",3.1,NA
"Inner Regional","New South Wales",2023,"Standardised death rate","rate",5.7,NA
"Inner Regional","New South Wales",2023,"Median age at death","years",81.9,NA
"Inner Regional","New South Wales",2024,"Estimated Resident Population","persons",1618435,NA
"Inner Regional","New South Wales",2024,"Deaths","no.",15634,NA
"Inner Regional","New South Wales",2024,"Infant mortality rate","rate",3,NA
"Inner Regional","New South Wales",2024,"Standardised death rate","rate",5.7,NA
"Inner Regional","New South Wales",2024,"Median age at death","years",82,NA
"Outer Regional","New South Wales",2011,"Estimated Resident Population","persons",377270,NA
"Outer Regional","New South Wales",2011,"Deaths","no.",3466,NA
"Outer Regional","New South Wales",2011,"Infant mortality rate","rate",NA,"np"
"Outer Regional","New South Wales",2011,"Standardised death rate","rate",NA,"np"
"Outer Regional","New South Wales",2011,"Median age at death","years",NA,"np"
"Outer Regional","New South Wales",2012,"Estimated Resident Population","persons",377603,NA
"Outer Regional","New South Wales",2012,"Deaths","no.",3316,NA
"Outer Regional","New South Wales",2012,"Infant mortality rate","rate",NA,"np"
"Outer Regional","New South Wales",2012,"Standardised death rate","rate",NA,"np"
"Outer Regional","New South Wales",2012,"Median age at death","years",NA,"np"
"Outer Regional","New South Wales",2013,"Estimated Resident Population","persons",377029,NA
"Outer Regional","New South Wales",2013,"Deaths","no.",3401,NA
"Outer Regional","New South Wales",2013,"Infant mortality rate","rate",5.7,NA
"Outer Regional","New South Wales",2013,"Standardised death rate","rate",6.4,NA
"Outer Regional","New South Wales",2013,"Median age at death","years",80.1,NA
"Outer Regional","New South Wales",2014,"Estimated Resident Population","persons",377413,NA
"Outer Regional","New South Wales",2014,"Deaths","no.",3398,NA
"Outer Regional","New South Wales",2014,"Infant mortality rate","rate",4,NA
"Outer Regional","New South Wales",2014,"Standardised death rate","rate",6.2,NA
"Outer Regional","New South Wales",2014,"Median age at death","years",80.1,NA
"Outer Regional","New South Wales",2015,"Estimated Resident Population","persons",377496,NA
"Outer Regional","New South Wales",2015,"Deaths","no.",3508,NA
"Outer Regional","New South Wales",2015,"Infant mortality rate","rate",3.7,NA
"Outer Regional","New South Wales",2015,"Standardised death rate","rate",6.2,NA
"Outer Regional","New South Wales",2015,"Median age at death","years",80,NA
"Outer Regional","New South Wales",2016,"Estimated Resident Population","persons",378057,NA
"Outer Regional","New South Wales",2016,"Deaths","no.",3689,NA
"Outer Regional","New South Wales",2016,"Infant mortality rate","rate",3.2,NA
"Outer Regional","New South Wales",2016,"Standardised death rate","rate",6.3,NA
"Outer Regional","New South Wales",2016,"Median age at death","years",80,NA
"Outer Regional","New South Wales",2017,"Estimated Resident Population","persons",378749,NA
"Outer Regional","New South Wales",2017,"Deaths","no.",3566,NA
"Outer Regional","New South Wales",2017,"Infant mortality rate","rate",3.7,NA
"Outer Regional","New South Wales",2017,"Standardised death rate","rate",6.3,NA
"Outer Regional","New South Wales",2017,"Median age at death","years",80.2,NA
"Outer Regional","New South Wales",2018,"Estimated Resident Population","persons",379438,NA
"Outer Regional","New South Wales",2018,"Deaths","no.",3606,NA
"Outer Regional","New South Wales",2018,"Infant mortality rate","rate",4.3,NA
"Outer Regional","New South Wales",2018,"Standardised death rate","rate",6.2,NA
"Outer Regional","New South Wales",2018,"Median age at death","years",80.1,NA
"Outer Regional","New South Wales",2019,"Estimated Resident Population","persons",379860,NA
"Outer Regional","New South Wales",2019,"Deaths","no.",3773,NA
"Outer Regional","New South Wales",2019,"Infant mortality rate","rate",4.3,NA
"Outer Regional","New South Wales",2019,"Standardised death rate","rate",6.2,NA
"Outer Regional","New South Wales",2019,"Median age at death","years",80.2,NA
"Outer Regional","New South Wales",2020,"Estimated Resident Population","persons",379593,NA
"Outer Regional","New South Wales",2020,"Deaths","no.",3378,NA
"Outer Regional","New South Wales",2020,"Infant mortality rate","rate",4.2,NA
"Outer Regional","New South Wales",2020,"Standardised death rate","rate",6,NA
"Outer Regional","New South Wales",2020,"Median age at death","years",80.1,NA
"Outer Regional","New South Wales",2021,"Estimated Resident Population","persons",378970,NA
"Outer Regional","New South Wales",2021,"Deaths","no.",3679,NA
"Outer Regional","New South Wales",2021,"Infant mortality rate","rate",3.2,NA
"Outer Regional","New South Wales",2021,"Standardised death rate","rate",6,NA
"Outer Regional","New South Wales",2021,"Median age at death","years",80.2,NA
"Outer Regional","New South Wales",2022,"Estimated Resident Population","persons",380023,NA
"Outer Regional","New South Wales",2022,"Deaths","no.",4003,NA
"Outer Regional","New South Wales",2022,"Infant mortality rate","rate",2.9,NA
"Outer Regional","New South Wales",2022,"Standardised death rate","rate",6,NA
"Outer Regional","New South Wales",2022,"Median age at death","years",80.4,NA
