"remoteness","state","year","measure","value_type","value","na_value"
"Major Cities","Queensland",2018,"Estimated Resident Population","persons",3222134,NA
"Major Cities","Queensland",2018,"Deaths","no.",18199,NA
"Major Cities","Queensland",2018,"Infant mortality rate","rate",3.7,NA
"Major Cities","Queensland",2018,"Standardised death rate","rate",5.2,NA
"Major Cities","Queensland",2018,"Median age at death","years",81.4,NA
"Major Cities","Queensland",2019,"Estimated Resident Population","persons",3288723,NA
"Major Cities","Queensland",2019,"Deaths","no.",19416,NA
"Major Cities","Queensland",2019,"Infant mortality rate","rate",3.7,NA
"Major Cities","Queensland",2019,"Standardised death rate","rate",5.2,NA
"Major Cities","Queensland",2019,"Median age at death","years",81.4,NA
"Major Cities","Queensland",2020,"Estimated Resident Population","persons",3348704,NA
"Major Cities","Queensland",2020,"Deaths","no.",18533,NA
"Major Cities","Queensland",2020,"Infant mortality rate","rate",3.7,NA
"Major Cities","Queensland",2020,"Standardised death rate","rate",5,NA
"Major Cities","Queensland",2020,"Median age at death","years",81.3,NA
"Major Cities","Queensland",2021,"Estimated Resident Population","persons",3382871,NA
"Major Cities","Queensland",2021,"Deaths","no.",20218,NA
"Major Cities","Queensland",2021,"Infant mortality rate","rate",3.6,NA
"Major Cities","Queensland",2021,"Standardised death rate","rate",5,NA
"Major Cities","Queensland",2021,"Median age at death","years",81.3,NA
"Major Cities","Queensland",2022,"Estimated Resident Population","persons",3457709,NA
"Major Cities","Queensland",2022,"Deaths","no.",23114,NA
"Major Cities","Queensland",2022,"Infant mortality rate","rate",3.8,NA
"Major Cities","Queensland",2022,"Standardised death rate","rate",5.1,NA
"Major Cities","Queensland",2022,"Median age at death","years",81.5,NA
"Major Cities","Queensland",2023,"Estimated Resident Population","persons",3563005,NA
"Major Cities","Queensland",2023,"Deaths","no.",21761,NA
"Major Cities","Queensland",2023,"Infant mortality rate","rate",3.8,NA
"Major Cities","Queensland",2023,"Standardised death rate","rate",5.2,NA
"Major Cities","Queensland",2023,"Median age at death","years",81.7,NA
"Major Cities","Queensland",2024,"Estimated Resident Population","persons",3654893,NA
"Major Cities","Queensland",2024,"Deaths","no.",22821,NA
"Major Cities","Queensland",2024,"Infant mortality rate","rate",4.4,NA
"Major Cities","Queensland",2024,"Standardised death rate","rate",5.3,NA
"Major Cities","Queensland",2024,"Median age at death","years",81.8,NA
"Inner Regional","Queensland",2011,"Estimated Resident Population","persons",899568,NA
"Inner Regional","Queensland",2011,"Deaths","no.",6427,NA
"Inner Regional","Queensland",2011,"Infant mortality rate","rate",NA,"np"
"Inner Regional","Queensland",2011,"Standardised death rate","rate",NA,"np"
"Inner Regional","Queensland",2011,"Median age at death","years",NA,"np"
"Inner Regional","Queensland",2012,"Estimated Resident Population","persons",914619,NA
"Inner Regional","Queensland",2012,"Deaths","no.",6700,NA
"Inner Regional","Queensland",2012,"Infant mortality rate","rate",NA,"np"
"Inner Regional","Queensland",2012,"Standardised death rate","rate",NA,"np"
"Inner Regional","Queensland",2012,"Median age at death","years",NA,"np"
"Inner Regional","Queensland",2013,"Estimated Resident Population","persons",928843,NA
"Inner Regional","Queensland",2013,"Deaths","no.",6558,NA
"Inner Regional","Queensland",2013,"Infant mortality rate","rate",4.6,NA
"Inner Regional","Queensland",2013,"Standardised death rate","rate",6,NA
"Inner Regional","Queensland",2013,"Median age at death","years",80,NA
"Inner Regional","Queensland",2014,"Estimated Resident Population","persons",938578,NA
"Inner Regional","Queensland",2014,"Deaths","no.",6633,NA
"Inner Regional","Queensland",2014,"Infant mortality rate","rate",4.7,NA
"Inner Regional","Queensland",2014,"Standardised death rate","rate",5.9,NA
"Inner Regional","Queensland",2014,"Median age at death","years",80,NA
"Inner Regional","Queensland",2015,"Estimated Resident Population","persons",944134,NA
"Inner Regional","Queensland",2015,"Deaths","no.",7095,NA
"Inner Regional","Queensland",2015,"Infant mortality rate","rate",5.1,NA
"Inner Regional","Queensland",2015,"Standardised death rate","rate",5.8,NA
"Inner Regional","Queensland",2015,"Median age at death","years",80,NA
"Inner Regional","Queensland",2016,"Estimated Resident Population","persons",949508,NA
"Inner Regional","Queensland",2016,"Deaths","no.",7135,NA
"Inner Regional","Queensland",2016,"Infant mortality rate","rate",4.9,NA
"Inner Regional","Queensland",2016,"Standardised death rate","rate",5.8,NA
"Inner Regional","Queensland",2016,"Median age at death","years",80,NA
"Inner Regional","Queensland",2017,"Estimated Resident Population","persons",960334,NA
"Inner Regional","Queensland",2017,"Deaths","no.",7455,NA
"Inner Regional","Queensland",2017,"Infant mortality rate","rate",5,NA
"Inner Regional","Queensland",2017,"Standardised death rate","rate",5.8,NA
"Inner Regional","Queensland",2017,"Median age at death","years",80.1,NA
"Inner Regional","Queensland",2018,"Estimated Resident Population","persons",972419,NA
"Inner Regional","Queensland",2018,"Deaths","no.",7484,NA
"Inner Regional","Queensland",2018,"Infant mortality rate","rate",4.3,NA
"Inner Regional","Queensland",2018,"Standardised death rate","rate",5.7,NA
"Inner Regional","Queensland",2018,"Median age at death","years",80.1,NA
"Inner Regional","Queensland",2019,"Estimated Resident Population","persons",984906,NA
"Inner Regional","Queensland",2019,"Deaths","no.",7683,NA
"Inner Regional","Queensland",2019,"Infant mortality rate","rate",3.9,NA
"Inner Regional","Queensland",2019,"Standardised death rate","rate",5.7,NA
"Inner Regional","Queensland",2019,"Median age at death","years",80.1,NA
"Inner Regional","Queensland",2020,"Estimated Resident Population","persons",996676,NA
"Inner Regional","Queensland",2020,"Deaths","no.",7520,NA
"Inner Regional","Queensland",2020,"Infant mortality rate","rate",3.4,NA
"Inner Regional","Queensland",2020,"Standardised death rate","rate",5.5,NA
"Inner Regional","Queensland",2020,"Median age at death","years",80.1,NA
"Inner Regional","Queensland",2021,"Estimated Resident Population","persons",1009523,NA
"Inner Regional","Queensland",2021,"Deaths","no.",8078,NA
"Inner Regional","Queensland",2021,"Infant mortality rate","rate",3.9,NA
"Inner Regional","Queensland",2021,"Standardised death rate","rate",5.4,NA
"Inner Regional","Queensland",2021,"Median age at death","years",80.2,NA
"Inner Regional","Queensland",2022,"Estimated Resident Population","persons",1029629,NA
"Inner Regional","Queensland",2022,"Deaths","no.",8991,NA
"Inner Regional","Queensland",2022,"Infant mortality rate","rate",4.2,NA
"Inner Regional","Queensland",2022,"Standardised death rate","rate",5.5,NA
"Inner Regional","Queensland",2022,"Median age at death","years",80.4,NA
"Inner Regional","Queensland",2023,"Estimated Resident Population","persons",1050817,NA
"Inner Regional","Queensland",2023,"Deaths","no.",8891,NA
"Inner Regional","Queensland",2023,"Infant mortality rate","rate",5.2,NA
"Inner Regional","Queensland",2023,"Standardised death rate","rate",5.6,NA
"Inner Regional","Queensland",2023,"Median age at death","years",80.3,NA
"Inner Regional","Queensland",2024,"Estimated Resident Population","persons",1070567,NA
"Inner Regional","Queensland",2024,"Deaths","no.",9498,NA
"Inner Regional","Queensland",2024,"Infant mortality rate","rate",5.3,NA
"Inner Regional","Queensland",2024,"Standardised death rate","rate",5.7,NA
"Inner Regional","Queensland",2024,"Median age at death","years",80.5,NA
"Outer Regional","Queensland",2011,"Estimated Resident Population","persons",647865,NA
"Outer Regional","Queensland",2011,"Deaths","no.",3939,NA
"Outer Regional","Queensland",2011,"Infant mortality rate","rate",NA,"np"
"Outer Regional","Queensland",2011,"Standardised death rate","rate",NA,"np"
"Outer Regional","Queensland",2011,"Median age at death","years",NA,"np"
"Outer Regional","Queensland",2012,"Estimated Resident Population","persons",657988,NA
"Outer Regional","Queensland",2012,"Deaths","no.",3934,NA
"Outer Regional","Queensland",2012,"Infant mortality rate","rate",NA,"np"
"Outer Regional","Queensland",2012,"Standardised death rate","rate",NA,"np"
"Outer Regional","Queensland",2012,"Median age at death","years",NA,"np"
"Outer Regional","Queensland",2013,"Estimated Resident Population","persons",666628,NA
"Outer Regional","Queensland",2013,"Deaths","no.",3846,NA
"Outer Regional","Queensland",2013,"Infant mortality rate","rate",5.5,NA
"Outer Regional","Queensland",2013,"Standardised death rate","rate",6.2,NA
"Outer Regional","Queensland",2013,"Median age at death","years",77.3,NA
"Outer Regional","Queensland",2014,"Estimated Resident Population","persons",671989,NA
"Outer Regional","Queensland",2014,"Deaths","no.",3952,NA
"Outer Regional","Queensland",2014,"Infant mortality rate","rate",4.9,NA
"Outer Regional","Queensland",2014,"Standardised death rate","rate",6,NA
"Outer Regional","Queensland",2014,"Median age at death","years",77.1,NA
"Outer Regional","Queensland",2015,"Estimated Resident Population","persons",674454,NA
"Outer Regional","Queensland",2015,"Deaths","no.",4151,NA
"Outer Regional","Queensland",2015,"Infant mortality rate","rate",5,NA
"Outer Regional","Queensland",2015,"Standardised death rate","rate",5.9,NA
"Outer Regional","Queensland",2015,"Median age at death","years",76.9,NA
"Outer Regional","Queensland",2016,"Estimated Resident Population","persons",677250,NA
"Outer Regional","Queensland",2016,"Deaths","no.",4138,NA
"Outer Regional","Queensland",2016,"Infant mortality rate","rate",4.5,NA
"Outer Regional","Queensland",2016,"Standardised death rate","rate",5.9,NA
"Outer Regional","Queensland",2016,"Median age at death","years",77,NA
"Outer Regional","Queensland",2017,"Estimated Resident Population","persons",681922,NA
"Outer Regional","Queensland",2017,"Deaths","no.",4446,NA
"Outer Regional","Queensland",2017,"Infant mortality rate","rate",4.6,NA
"Outer Regional","Queensland",2017,"Standardised death rate","rate",6,NA
"Outer Regional","Queensland",2017,"Median age at death","years",77.2,NA
"Outer Regional","Queensland",2018,"Estimated Resident Population","persons",685578,NA
"Outer Regional","Queensland",2018,"Deaths","no.",4463,NA
"Outer Regional","Queensland",2018,"Infant mortality rate","rate",4.5,NA
"Outer Regional","Queensland",2018,"Standardised death rate","rate",6,NA
"Outer Regional","Queensland",2018,"Median age at death","years",77.5,NA
"Outer Regional","Queensland",2019,"Estimated Resident Population","persons",689119,NA
"Outer Regional","Queensland",2019,"Deaths","no.",4615,NA
"Outer Regional","Queensland",2019,"Infant mortality rate","rate",5,NA
"Outer Regional","Queensland",2019,"Standardised death rate","rate",6,NA
"Outer Regional","Queensland",2019,"Median age at death","years",77.7,NA
"Outer Regional","Queensland",2020,"Estimated Resident Population","persons",694107,NA
"Outer Regional","Queensland",2020,"Deaths","no.",4602,NA
"Outer Regional","Queensland",2020,"Infant mortality rate","rate",4.8,NA
"Outer Regional","Queensland",2020,"Standardised death rate","rate",5.9,NA
"Outer Regional","Queensland",2020,"Median age at death","years",77.8,NA
"Outer Regional","Queensland",2021,"Estimated Resident Population","persons",697295,NA
"Outer Regional","Queensland",2021,"Deaths","no.",4812,NA
"Outer Regional","Queensland",2021,"Infant mortality rate","rate",5.1,NA
"Outer Regional","Queensland",2021,"Standardised death rate","rate",5.9,NA
"Outer Regional","Queensland",2021,"Median age at death","years",78,NA
"Outer Regional","Queensland",2022,"Estimated Resident Population","persons",707116,NA
"Outer Regional","Queensland",2022,"Deaths","no.",5228,NA
"Outer Regional","Queensland",2022,"Infant mortality rate","rate",5.2,NA
"Outer Regional","Queensland",2022,"Standardised death rate","rate",5.9,NA
"Outer Regional","Queensland",2022,"Median age at death","years",78.3,NA
"Outer Regional","Queensland",2023,"Estimated Resident Population","persons",719279,NA
"Outer Regional","Queensland",2023,"Deaths","no.",5197,NA
"Outer Regional","Queensland",2023,"Infant mortality rate","rate",4.9,NA
"Outer Regional","Queensland",2023,"Standardised death rate","rate",5.9,NA
"Outer Regional","Queensland",2023,"Median age at death","years",78.5,NA
"Outer Regional","Queensland",2024,"Estimated Resident Population","persons",730225,NA
"Outer Regional","Queensland",2024,"Deaths","no.",5741,NA
"Outer Regional","Queensland",2024,"Infant mortality rate","rate",5,NA
"Outer Regional","Queensland",2024,"Standardised death rate","rate",6,NA
"Outer Regional","Queensland",2024,"Median age at death","years",78.4,NA
"Remote","Queensland",2011,"Estimated Resident Population","persons",77650,NA
"Remote","Queensland",2011,"Deaths","no.",406,NA
"Remote","Queensland",2011,"Infant mortality rate","rate",NA,"np"
"Remote","Queensland",2011,"Standardised death rate","rate",NA,"np"
"Remote","Queensland",2011,"Median age at death","years",NA,"np"
"Remote","Queensland",2012,"Estimated Resident Population","persons",77885,NA
"Remote","Queensland",2012,"Deaths","no.",389,NA
"Remote","Queensland",2012,"Infant mortality rate","rate",NA,"np"
"Remote","Queensland",2012,"Standardised death rate","rate",NA,"np"
"Remote","Queensland",2012,"Median age at death","years",NA,"np"
"Remote","Queensland",2013,"Estimated Resident Population","persons",77763,NA
"Remote","Queensland",2013,"Deaths","no.",401,NA
"Remote","Queensland",2013,"Infant mortality rate","rate",6.4,NA
"Remote","Queensland",2013,"Standardised death rate","rate",6.2,NA
"Remote","Queensland",2013,"Median age at death","years",72,NA
"Remote","Queensland",2014,"Estimated Resident Population","persons",76677,NA
"Remote","Queensland",2014,"Deaths","no.",407,NA
"Remote","Queensland",2014,"Infant mortality rate","rate",6,NA
"Remote","Queensland",2014,"Standardised death rate","rate",5.9,NA
"Remote","Queensland",2014,"Median age at death","years",72.2,NA
"Remote","Queensland",2015,"Estimated Resident Population","persons",75385,NA
"Remote","Queensland",2015,"Deaths","no.",394,NA
"Remote","Queensland",2015,"Infant mortality rate","rate",5.2,NA
"Remote","Queensland",2015,"Standardised death rate","rate",5.9,NA
"Remote","Queensland",2015,"Median age at death","years",72.2,NA
"Remote","Queensland",2016,"Estimated Resident Population","persons",73673,NA
"Remote","Queensland",2016,"Deaths","no.",407,NA
"Remote","Queensland",2016,"Infant mortality rate","rate",5,NA
"Remote","Queensland",2016,"Standardised death rate","rate",6.2,NA
"Remote","Queensland",2016,"Median age at death","years",73.5,NA
"Remote","Queensland",2017,"Estimated Resident Population","persons",73047,NA
"Remote","Queensland",2017,"Deaths","no.",398,NA
"Remote","Queensland",2017,"Infant mortality rate","rate",5.6,NA
"Remote","Queensland",2017,"Standardised death rate","rate",6.4,NA
"Remote","Queensland",2017,"Median age at death","years",74.5,NA
"Remote","Queensland",2018,"Estimated Resident Population","persons",72606,NA
"Remote","Queensland",2018,"Deaths","no.",389,NA
"Remote","Queensland",2018,"Infant mortality rate","rate",NA,"np"
"Remote","Queensland",2018,"Standardised death rate","rate",6.3,NA
"Remote","Queensland",2018,"Median age at death","years",74.3,NA
"Remote","Queensland",2019,"Estimated Resident Population","persons",72278,NA
"Remote","Queensland",2019,"Deaths","no.",425,NA
"Remote","Queensland",2019,"Infant mortality rate","rate",4.7,NA
"Remote","Queensland",2019,"Standardised death rate","rate",6.1,NA
"Remote","Queensland",2019,"Median age at death","years",73.1,NA
"Remote","Queensland",2020,"Estimated Resident Population","persons",72553,NA
"Remote","Queensland",2020,"Deaths","no.",413,NA
"Remote","Queensland",2020,"Infant mortality rate","rate",3.9,NA
"Remote","Queensland",2020,"Standardised death rate","rate",5.9,NA
"Remote","Queensland",2020,"Median age at death","years",72.7,NA
"Remote","Queensland",2021,"Estimated Resident Population","persons",72578,NA
"Remote","Queensland",2021,"Deaths","no.",429,NA
"Remote","Queensland",2021,"Infant mortality rate","rate",4.7,NA
"Remote","Queensland",2021,"Standardised death rate","rate",6,NA
"Remote","Queensland",2021,"Median age at death","years",73.2,NA
"Remote","Queensland",2022,"Estimated Resident Population","persons",72789,NA
"Remote","Queensland",2022,"Deaths","no.",491,NA
"Remote","Queensland",2022,"Infant mortality rate","rate",4.8,NA
"Remote","Queensland",2022,"Standardised death rate","rate",6.1,NA
"Remote","Queensland",2022,"Median age at death","years",74.7,NA
"Remote","Queensland",2023,"Estimated Resident Population","persons",73213,NA
"Remote","Queensland",2023,"Deaths","no.",456,NA
"Remote","Queensland",2023,"Infant mortality rate","rate",NA,"np"
"Remote","Queensland",2023,"Standardised death rate","rate",6.1,NA
"Remote","Queensland",2023,"Median age at death","years",75,NA
"Remote","Queensland",2024,"Estimated Resident Population","persons",73623,NA
"Remote","Queensland",2024,"Deaths","no.",458,NA
"Remote","Queensland",2024,"Infant mortality rate","rate",4.4,NA
"Remote","Queensland",2024,"Standardised death rate","rate",5.9,NA
"Remote","Queensland",2024,"Median age at death","years",74.8,NA
"Very Remote","Queensland",2011,"Estimated Resident Population","persons",57526,NA
"Very Remote","Queensland",2011,"Deaths","no.",315,NA
"Very Remote","Queensland",2011,"Infant mortality rate","rate",NA,"np"
"Very Remote","Queensland",2011,"Standardised death rate","rate",NA,"np"
"Very Remote","Queensland",2011,"Median age at death","years",NA,"np"
"Very Remote","Queensland",2012,"Estimated Resident Population","persons",57271,NA
"Very Remote","Queensland",2012,"Deaths","no.",344,NA
"Very Remote","Queensland",2012,"Infant mortality rate","rate",NA,"np"
"Very Remote","Queensland",2012,"Standardised death rate","rate",NA,"np"
"Very Remote","Queensland",2012,"Median age at death","years",NA,"np"
"Very Remote","Queensland",2013,"Estimated Resident Population","persons",56855,NA
"Very Remote","Queensland",2013,"Deaths","no.",365,NA
"Very Remote","Queensland",2013,"Infant mortality rate","rate",6.6,NA
"Very Remote","Queensland",2013,"Standardised death rate","rate",7.5,NA
"Very Remote","Queensland",2013,"Median age at death","years",71.8,NA
"Very Remote","Queensland",2014,"Estimated Resident Population","persons",56273,NA
"Very Remote","Queensland",2014,"Deaths","no.",335,NA
"Very Remote","Queensland",2014,"Infant mortality rate","rate",5.3,NA
"Very Remote","Queensland",2014,"Standardised death rate","rate",7.5,NA
"Very Remote","Queensland",2014,"Median age at death","years",72.6,NA
"Very Remote","Queensland",2015,"Estimated Resident Population","persons",55272,NA
"Very Remote","Queensland",2015,"Deaths","no.",334,NA
"Very Remote","Queensland",2015,"Infant mortality rate","rate",6.1,NA
"Very Remote","Queensland",2015,"Standardised death rate","rate",7.3,NA
"Very Remote","Queensland",2015,"Median age at death","years",72,NA
"Very Remote","Queensland",2016,"Estimated Resident Population","persons",54368,NA
"Very Remote","Queensland",2016,"Deaths","no.",322,NA
"Very Remote","Queensland",2016,"Infant mortality rate","rate",5.8,NA
"Very Remote","Queensland",2016,"Standardised death rate","rate",7.2,NA
"Very Remote","Queensland",2016,"Median age at death","years",72.4,NA
"Very Remote","Queensland",2017,"Estimated Resident Population","persons",54062,NA
"Very Remote","Queensland",2017,"Deaths","no.",297,NA
"Very Remote","Queensland",2017,"Infant mortality rate","rate",4.4,NA
"Very Remote","Queensland",2017,"Standardised death rate","rate",7.2,NA
"Very Remote","Queensland",2017,"Median age at death","years",72,NA
"Very Remote","Queensland",2018,"Estimated Resident Population","persons",53886,NA
"Very Remote","Queensland",2018,"Deaths","no.",325,NA
"Very Remote","Queensland",2018,"Infant mortality rate","rate",NA,"np"
"Very Remote","Queensland",2018,"Standardised death rate","rate",7.2,NA
"Very Remote","Queensland",2018,"Median age at death","years",73,NA
"Very Remote","Queensland",2019,"Estimated Resident Population","persons",53821,NA
"Very Remote","Queensland",2019,"Deaths","no.",334,NA
"Very Remote","Queensland",2019,"Infant mortality rate","rate",3.4,NA
"Very Remote","Queensland",2019,"Standardised death rate","rate",7.1,NA
"Very Remote","Queensland",2019,"Median age at death","years",73.1,NA
"Very Remote","Queensland",2020,"Estimated Resident Population","persons",53573,NA
"Very Remote","Queensland",2020,"Deaths","no.",299,NA
"Very Remote","Queensland",2020,"Infant mortality rate","rate",NA,"np"
"Very Remote","Queensland",2020,"Standardised death rate","rate",6.9,NA
"Very Remote","Queensland",2020,"Median age at death","years",73.4,NA
"Very Remote","Queensland",2021,"Estimated Resident Population","persons",53547,NA
"Very Remote","Queensland",2021,"Deaths","no.",321,NA
"Very Remote","Queensland",2021,"Infant mortality rate","rate",NA,"np"
"Very Remote","Queensland",2021,"Standardised death rate","rate",6.8,NA
"Very Remote","Queensland",2021,"Median age at death","years",73.9,NA
"Very Remote","Queensland",2022,"Estimated Resident Population","persons",53698,NA
"Very Remote","Queensland",2022,"Deaths","no.",336,NA
"Very Remote","Queensland",2022,"Infant mortality rate","rate",3.8,NA
"Very Remote","Queensland",2022,"Standardised death rate","rate",6.7,NA
"Very Remote","Queensland",2022,"Median age at death","years",74.8,NA
"Very Remote","Queensland",2023,"Estimated Resident Population","persons",54163,NA
"Very Remote","Queensland",2023,"Deaths","no.",317,NA
"Very Remote","Queensland",2023,"Infant mortality rate","rate",4.9,NA
"Very Remote","Queensland",2023,"Standardised death rate","rate",6.6,NA
"Very Remote","Queensland",2023,"Median age at death","years",75.2,NA
"Very Remote","Queensland",2024,"Estimated Resident Population","persons",54525,NA
"Very Remote","Queensland",2024,"Deaths","no.",383,NA
"Very Remote","Queensland",2024,"Infant mortality rate","rate",6.3,NA
"Very Remote","Queensland",2024,"Standardised death rate","rate",6.7,NA
"Very Remote","Queensland",2024,"Median age at death","years",75.4,NA
"Major Cities","South Australia",2011,"Estimated Resident Population","persons",1223828,NA
"Major Cities","South Australia",2011,"Deaths","no.",9335,NA
"Major Cities","South Australia",2011,"Infant mortality rate","rate",NA,"np"
"Major Cities","South Australia",2011,"Standardised death rate","rate",NA,"np"
"Major Cities","South Australia",2011,"Median age at death","years",NA,"np"
"Major Cities","South Australia",2012,"Estimated Resident Population","persons",1237397,NA
"Major Cities","South Australia",2012,"Deaths","no.",9653,NA
"Major Cities","South Australia",2012,"Infant mortality rate","rate",NA,"np"
"Major Cities","South Australia",2012,"Standardised death rate","rate",NA,"np"
"Major Cities","South Australia",2012,"Median age at death","years",NA,"np"
"Major Cities","South Australia",2013,"Estimated Resident Population","persons",1249202,NA
"Major Cities","South Australia",2013,"Deaths","no.",9319,NA
"Major Cities","South Australia",2013,"Infant mortality rate","rate",2.8,NA
"Major Cities","South Australia",2013,"Standardised death rate","rate",5.6,NA
"Major Cities","South Australia",2013,"Median age at death","years",83,NA
"Major Cities","South Australia",2014,"Estimated Resident Population","persons",1261432,NA
"Major Cities","South Australia",2014,"Deaths","no.",9758,NA
"Major Cities","South Australia",2014,"Infant mortality rate","rate",2.9,NA
"Major Cities","South Australia",2014,"Standardised death rate","rate",5.6,NA
"Major Cities","South Australia",2014,"Median age at death","years",83.2,NA
"Major Cities","South Australia",2015,"Estimated Resident Population","persons",1272600,NA
"Major Cities","South Australia",2015,"Deaths","no.",9911,NA
"Major Cities","South Australia",2015,"Infant mortality rate","rate",2.7,NA
"Major Cities","South Australia",2015,"Standardised death rate","rate",5.6,NA
"Major Cities","South Australia",2015,"Median age at death","years",83.2,NA
"Major Cities","South Australia",2016,"Estimated Resident Population","persons",1283033,NA
"Major Cities","South Australia",2016,"Deaths","no.",9677,NA
"Major Cities","South Australia",2016,"Infant mortality rate","rate",2.8,NA
"Major Cities","South Australia",2016,"Standardised death rate","rate",5.5,NA
"Major Cities","South Australia",2016,"Median age at death","years",83.4,NA
"Major Cities","South Australia",2017,"Estimated Resident Population","persons",1297031,NA
"Major Cities","South Australia",2017,"Deaths","no.",10117,NA
"Major Cities","South Australia",2017,"Infant mortality rate","rate",2.9,NA
"Major Cities","South Australia",2017,"Standardised death rate","rate",5.5,NA
"Major Cities","South Australia",2017,"Median age at death","years",83.4,NA
"Major Cities","South Australia",2018,"Estimated Resident Population","persons",1312026,NA
"Major Cities","South Australia",2018,"Deaths","no.",9824,NA
"Major Cities","South Australia",2018,"Infant mortality rate","rate",3,NA
"Major Cities","South Australia",2018,"Standardised death rate","rate",5.4,NA
"Major Cities","South Australia",2018,"Median age at death","years",83.3,NA
"Major Cities","South Australia",2019,"Estimated Resident Population","persons",1330316,NA
"Major Cities","South Australia",2019,"Deaths","no.",10037,NA
"Major Cities","South Australia",2019,"Infant mortality rate","rate",2.6,NA
"Major Cities","South Australia",2019,"Standardised death rate","rate",5.4,NA
"Major Cities","South Australia",2019,"Median age at death","years",83.3,NA
"Major Cities","South Australia",2020,"Estimated Resident Population","persons",1349946,NA
"Major Cities","South Australia",2020,"Deaths","no.",9826,NA
"Major Cities","South Australia",2020,"Infant mortality rate","rate",2.5,NA
"Major Cities","South Australia",2020,"Standardised death rate","rate",5.2,NA
"Major Cities","South Australia",2020,"Median age at death","years",83.2,NA
"Major Cities","South Australia",2021,"Estimated Resident Population","persons",1358462,NA
"Major Cities","South Australia",2021,"Deaths","no.",10455,NA
"Major Cities","South Australia",2021,"Infant mortality rate","rate",2.4,NA
"Major Cities","South Australia",2021,"Standardised death rate","rate",5.2,NA
"Major Cities","South Australia",2021,"Median age at death","years",83.3,NA
"Major Cities","South Australia",2022,"Estimated Resident Population","persons",1374074,NA
"Major Cities","South Australia",2022,"Deaths","no.",11166,NA
"Major Cities","South Australia",2022,"Infant mortality rate","rate",2.5,NA
"Major Cities","South Australia",2022,"Standardised death rate","rate",5.2,NA
"Major Cities","South Australia",2022,"Median age at death","years",83.3,NA
"Major Cities","South Australia",2023,"Estimated Resident Population","persons",1401874,NA
"Major Cities","South Australia",2023,"Deaths","no.",11177,NA
"Major Cities","South Australia",2023,"Infant mortality rate","rate",2.6,NA
"Major Cities","South Australia",2023,"Standardised death rate","rate",5.3,NA
"Major Cities","South Australia",2023,"Median age at death","years",83.4,NA
"Major Cities","South Australia",2024,"Estimated Resident Population","persons",1422859,NA
"Major Cities","South Australia",2024,"Deaths","no.",11306,NA
"Major Cities","South Australia",2024,"Infant mortality rate","rate",2.8,NA
"Major Cities","South Australia",2024,"Standardised death rate","rate",5.4,NA
"Major Cities","South Australia",2024,"Median age at death","years",83.2,NA
"Inner Regional","South Australia",2011,"Estimated Resident Population","persons",157818,NA
"Inner Regional","South Australia",2011,"Deaths","no.",1222,NA
"Inner Regional","South Australia",2011,"Infant mortality rate","rate",NA,"np"
"Inner Regional","South Australia",2011,"Standardised death rate","rate",NA,"np"
"Inner Regional","South Australia",2011,"Median age at death","years",NA,"np"
"Inner Regional","South Australia",2012,"Estimated Resident Population","persons",159840,NA
"Inner Regional","South Australia",2012,"Deaths","no.",1279,NA
"Inner Regional","South Australia",2012,"Infant mortality rate","rate",NA,"np"
"Inner Regional","South Australia",2012,"Standardised death rate","rate",NA,"np"
"Inner Regional","South Australia",2012,"Median age at death","years",NA,"np"
"Inner Regional","South Australia",2013,"Estimated Resident Population","persons",161871,NA
"Inner Regional","South Australia",2013,"Deaths","no.",1303,NA
"Inner Regional","South Australia",2013,"Infant mortality rate","rate",2.2,NA
"Inner Regional","South Australia",2013,"Standardised death rate","rate",5.5,NA
"Inner Regional","South Australia",2013,"Median age at death","years",81.8,NA
"Inner Regional","South Australia",2014,"Estimated Resident Population","persons",163872,NA
"Inner Regional","South Australia",2014,"Deaths","no.",1352,NA
"Inner Regional","South Australia",2014,"Infant mortality rate","rate",2.7,NA
"Inner Regional","South Australia",2014,"Standardised death rate","rate",5.5,NA
"Inner Regional","South Australia",2014,"Median age at death","years",82.2,NA
"Inner Regional","South Australia",2015,"Estimated Resident Population","persons",165816,NA
"Inner Regional","South Australia",2015,"Deaths","no.",1355,NA
"Inner Regional","South Australia",2015,"Infant mortality rate","rate",3.8,NA
"Inner Regional","South Australia",2015,"Standardised death rate","rate",5.4,NA
"Inner Regional","South Australia",2015,"Median age at death","years",82.1,NA
"Inner Regional","South Australia",2016,"Estimated Resident Population","persons",167624,NA
"Inner Regional","South Australia",2016,"Deaths","no.",1323,NA
"Inner Regional","South Australia",2016,"Infant mortality rate","rate",NA,"np"
"Inner Regional","South Australia",2016,"Standardised death rate","rate",5.3,NA
"Inner Regional","South Australia",2016,"Median age at death","years",82.4,NA
"Inner Regional","South Australia",2017,"Estimated Resident Population","persons",169202,NA
"Inner Regional","South Australia",2017,"Deaths","no.",1448,NA
"Inner Regional","South Australia",2017,"Infant mortality rate","rate",2.8,NA
"Inner Regional","South Australia",2017,"Standardised death rate","rate",5.3,NA
"Inner Regional","South Australia",2017,"Median age at death","years",82.5,NA
"Inner Regional","South Australia",2018,"Estimated Resident Population","persons",171108,NA
"Inner Regional","South Australia",2018,"Deaths","no.",1357,NA
"Inner Regional","South Australia",2018,"Infant mortality rate","rate",2.6,NA
"Inner Regional","South Australia",2018,"Standardised death rate","rate",5.1,NA
